No.,Player,Date of birth (age)
1,Jordan Pickford,7 March 1994 (age 24)
2,Trent Alexander-Arnold,7 October 1998 (age 19)
3,Danny Rose,2 July 1990 (age 28)
4,Kyle Walker,28 May 1990 (age 28)
5,James Tarkowski,19 November 1992 (age 25)
6,Harry Maguire,5 March 1993 (age 25)
7,Ruben Loftus-Cheek,23 January 1996 (age 22)
8,Eric Dier,15 January 1994 (age 24)
9,Danny Welbeck,26 November 1990 (age 27)
10,Marcus Rashford,31 October 1997 (age 20)
11,Fabian Delph,21 November 1989 (age 28)
12,Kieran Trippier,19 September 1990 (age 27)
13,Jack Butland,10 March 1993 (age 25)
14,Ben Chilwell,21 December 1996 (age 21)
15,John Stones,28 May 1994 (age 24)
16,Joe Gomez,23 May 1997 (age 21)
17,Jordan Henderson,17 June 1990 (age 28)
18,Jesse Lingard,15 December 1992 (age 25)
19,Harry Kane (Captain),28 July 1993 (age 25)
20,Demarai Gray,28 June 1996 (age 22)
21,Alex McCarthy,3 December 1989 (age 28)
22,Marcus Bettinelli,24 May 1992 (age 26)
